Experiment 🧪,Model 🤗,Prefill (s),Per Token (s),Decode (tokens/s),Energy (tokens/kWh),Backend 🏭,Precision 📥,Quantization 🗜️,Attention 👁️,Kernel ⚛️,Architecture 🏛️,End-to-End (s),Open LLM Score (%),Params (B),Memory (MB)
float16-eager-onnxruntime,microsoft/Phi-3-mini-4k-instruct,1.149,0.1084881485001005,9.161,507061.519,onnxruntime,float16,Unquantized,,No Kernel,Phi3ForCausalLM,8.025,27.2,3,33874.035
float32-sdpa-onnxruntime,microsoft/Phi-3-mini-4k-instruct,1.148,0.1082834259998435,9.167,506519.539,onnxruntime,float32,Unquantized,,No Kernel,Phi3ForCausalLM,8.02,27.2,3,33883.009
float16-sdpa-onnxruntime,microsoft/Phi-3-mini-4k-instruct,1.149,0.1081841434997841,9.176,555187.043,onnxruntime,float16,Unquantized,,No Kernel,Phi3ForCausalLM,8.02,27.2,3,34152.235
float32-eager-onnxruntime,microsoft/Phi-3-mini-4k-instruct,1.146,0.1081710534997455,9.178,507484.453,onnxruntime,float32,Unquantized,,No Kernel,Phi3ForCausalLM,8.014,27.2,3,34165.006
bfloat16-eager-onnxruntime,microsoft/Phi-3-mini-4k-instruct,1.149,0.1081959539999388,9.182,506845.367,onnxruntime,bfloat16,Unquantized,,No Kernel,Phi3ForCausalLM,8.014,27.2,3,33952.588
bfloat16-sdpa-onnxruntime,microsoft/Phi-3-mini-4k-instruct,1.155,0.1080051939998156,9.195,506373.04,onnxruntime,bfloat16,Unquantized,,No Kernel,Phi3ForCausalLM,8.006,27.2,3,33879.2
float32-eager,microsoft/Phi-3-mini-4k-instruct,0.919,0.1067300630002137,9.344,512276.739,pytorch,float32,Unquantized,Eager,No Kernel,Phi3ForCausalLM,7.655,27.2,3,16873.779
float16-eager,microsoft/Phi-3-mini-4k-instruct,0.871,0.101132788000541,9.873,539138.011,pytorch,float16,Unquantized,Eager,No Kernel,Phi3ForCausalLM,7.248,27.2,3,8469.733
bfloat16-eager,microsoft/Phi-3-mini-4k-instruct,1.256,0.0833992830002898,11.956,657268.304,pytorch,bfloat16,Unquantized,Eager,No Kernel,Phi3ForCausalLM,6.518,27.2,3,8466.649
float16-eager-onnxruntime,microsoft/Phi-3-mini-4k-instruct,1.149,0.1084881485001005,9.161,507061.519,onnxruntime,float16,Unquantized,,No Kernel,Phi3ForCausalLM,8.025,25.97,3,33874.035
float32-sdpa-onnxruntime,microsoft/Phi-3-mini-4k-instruct,1.148,0.1082834259998435,9.167,506519.539,onnxruntime,float32,Unquantized,,No Kernel,Phi3ForCausalLM,8.02,25.97,3,33883.009
float16-sdpa-onnxruntime,microsoft/Phi-3-mini-4k-instruct,1.149,0.1081841434997841,9.176,555187.043,onnxruntime,float16,Unquantized,,No Kernel,Phi3ForCausalLM,8.02,25.97,3,34152.235
float32-eager-onnxruntime,microsoft/Phi-3-mini-4k-instruct,1.146,0.1081710534997455,9.178,507484.453,onnxruntime,float32,Unquantized,,No Kernel,Phi3ForCausalLM,8.014,25.97,3,34165.006
bfloat16-eager-onnxruntime,microsoft/Phi-3-mini-4k-instruct,1.149,0.1081959539999388,9.182,506845.367,onnxruntime,bfloat16,Unquantized,,No Kernel,Phi3ForCausalLM,8.014,25.97,3,33952.588
bfloat16-sdpa-onnxruntime,microsoft/Phi-3-mini-4k-instruct,1.155,0.1080051939998156,9.195,506373.04,onnxruntime,bfloat16,Unquantized,,No Kernel,Phi3ForCausalLM,8.006,25.97,3,33879.2
float32-eager,microsoft/Phi-3-mini-4k-instruct,0.919,0.1067300630002137,9.344,512276.739,pytorch,float32,Unquantized,Eager,No Kernel,Phi3ForCausalLM,7.655,25.97,3,16873.779
float16-eager,microsoft/Phi-3-mini-4k-instruct,0.871,0.101132788000541,9.873,539138.011,pytorch,float16,Unquantized,Eager,No Kernel,Phi3ForCausalLM,7.248,25.97,3,8469.733
bfloat16-eager,microsoft/Phi-3-mini-4k-instruct,1.256,0.0833992830002898,11.956,657268.304,pytorch,bfloat16,Unquantized,Eager,No Kernel,Phi3ForCausalLM,6.518,25.97,3,8466.649
float32-eager,meta-llama/Meta-Llama-3-8B-Instruct,1.699,0.1960161034999146,5.09,277950.628,pytorch,float32,Unquantized,Eager,No Kernel,LlamaForCausalLM,14.074,23.91,8,32943.063
float32-sdpa,meta-llama/Meta-Llama-3-8B-Instruct,1.725,0.1959913945001972,5.091,278184.653,pytorch,float32,Unquantized,SDPA,No Kernel,LlamaForCausalLM,14.094,23.91,8,32936.903
float16-eager,meta-llama/Meta-Llama-3-8B-Instruct,2.05,0.1868305835000683,5.351,294123.326,pytorch,float16,Unquantized,Eager,No Kernel,LlamaForCausalLM,13.822,23.91,8,16698.143
float16-sdpa,meta-llama/Meta-Llama-3-8B-Instruct,2.858,0.18654588300069,5.358,294020.878,pytorch,float16,Unquantized,SDPA,No Kernel,LlamaForCausalLM,14.616,23.91,8,16643.273
bfloat16-eager,meta-llama/Meta-Llama-3-8B-Instruct,2.323,0.1495451710015913,6.679,365665.788,pytorch,bfloat16,Unquantized,Eager,No Kernel,LlamaForCausalLM,11.757,23.91,8,16693.383
bfloat16-sdpa,meta-llama/Meta-Llama-3-8B-Instruct,2.247,0.1453125560001353,6.875,377575.188,pytorch,bfloat16,Unquantized,SDPA,No Kernel,LlamaForCausalLM,11.415,23.91,8,16651.837
float32-eager,meta-llama/Meta-Llama-3-8B-Instruct,1.699,0.1960161034999146,5.09,277950.628,pytorch,float32,Unquantized,Eager,No Kernel,LlamaForCausalLM,14.074,20.48,8,32943.063
float32-sdpa,meta-llama/Meta-Llama-3-8B-Instruct,1.725,0.1959913945001972,5.091,278184.653,pytorch,float32,Unquantized,SDPA,No Kernel,LlamaForCausalLM,14.094,20.48,8,32936.903
float16-eager,meta-llama/Meta-Llama-3-8B-Instruct,2.05,0.1868305835000683,5.351,294123.326,pytorch,float16,Unquantized,Eager,No Kernel,LlamaForCausalLM,13.822,20.48,8,16698.143
float16-sdpa,meta-llama/Meta-Llama-3-8B-Instruct,2.858,0.18654588300069,5.358,294020.878,pytorch,float16,Unquantized,SDPA,No Kernel,LlamaForCausalLM,14.616,20.48,8,16643.273
bfloat16-eager,meta-llama/Meta-Llama-3-8B-Instruct,2.323,0.1495451710015913,6.679,365665.788,pytorch,bfloat16,Unquantized,Eager,No Kernel,LlamaForCausalLM,11.757,20.48,8,16693.383
bfloat16-sdpa,meta-llama/Meta-Llama-3-8B-Instruct,2.247,0.1453125560001353,6.875,377575.188,pytorch,bfloat16,Unquantized,SDPA,No Kernel,LlamaForCausalLM,11.415,20.48,8,16651.837
float32-eager-pytorch,Qwen/Qwen1.5-14B,3.5,0.3450649445003364,2.887,158110.391,pytorch,float32,Unquantized,Eager,No Kernel,Qwen2ForCausalLM,25.311,20.22,14,59387.22
float32-sdpa-pytorch,Qwen/Qwen1.5-14B,3.47,0.3422119089991611,2.909,159916.958,pytorch,float32,Unquantized,SDPA,No Kernel,Qwen2ForCausalLM,25.121,20.22,14,59333.816
float16-eager-pytorch,Qwen/Qwen1.5-14B,3.846,0.3099580014986713,3.209,176226.264,pytorch,float16,Unquantized,Eager,No Kernel,Qwen2ForCausalLM,23.455,20.22,14,29988.094
float16-sdpa-pytorch,Qwen/Qwen1.5-14B,4.604,0.2991477974996996,3.338,177309.797,pytorch,float16,Unquantized,SDPA,No Kernel,Qwen2ForCausalLM,23.475,20.22,14,29949.034
bfloat16-eager-pytorch,Qwen/Qwen1.5-14B,5.044,0.2541689919999044,3.926,216699.353,pytorch,bfloat16,Unquantized,Eager,No Kernel,Qwen2ForCausalLM,21.087,20.22,14,29972.107
bfloat16-sdpa-pytorch,Qwen/Qwen1.5-14B,4.416,0.243699959999958,4.096,224269.419,pytorch,bfloat16,Unquantized,SDPA,No Kernel,Qwen2ForCausalLM,19.799,20.22,14,29976.404
float32-eager,HuggingFaceH4/zephyr-7b-beta,1.519,0.2849556725000184,3.623,116328.384,pytorch,float32,Unquantized,Eager,No Kernel,MistralForCausalLM,18.891,17.72,7,29801.099
float32-sdpa,HuggingFaceH4/zephyr-7b-beta,1.509,0.2842136115000357,3.643,117459.64,pytorch,float32,Unquantized,SDPA,No Kernel,MistralForCausalLM,18.807,17.72,7,29786.874
float16-eager,HuggingFaceH4/zephyr-7b-beta,1.587,0.2024019049999879,4.898,158205.184,pytorch,float16,Unquantized,Eager,No Kernel,MistralForCausalLM,14.424,17.72,7,15118.303
float16-sdpa,HuggingFaceH4/zephyr-7b-beta,1.509,0.2000872930002515,4.993,160109.479,pytorch,float16,Unquantized,SDPA,No Kernel,MistralForCausalLM,14.125,17.72,7,15168.705
bfloat16-eager,HuggingFaceH4/zephyr-7b-beta,1.93,0.1922251444998437,5.349,172531.761,pytorch,bfloat16,Unquantized,Eager,No Kernel,MistralForCausalLM,13.704,17.72,7,15078.601
bfloat16-sdpa,HuggingFaceH4/zephyr-7b-beta,1.953,0.1884682454997346,5.541,176415.801,pytorch,bfloat16,Unquantized,SDPA,No Kernel,MistralForCausalLM,13.319,17.72,7,15032.537
float32-eager-pytorch,google/gemma-7b,2.313,0.2264478845008852,4.411,241400.985,pytorch,float32,Unquantized,Eager,No Kernel,GemmaForCausalLM,16.657,15.28,8,37929.214
