Experiment 🧪,Model 🤗,Prefill (s),Per Token (s),Decode (tokens/s),Energy (tokens/kWh),Backend 🏭,Precision 📥,Quantization 🗜️,Attention 👁️,Kernel ⚛️,Architecture 🏛️,End-to-End (s),Open LLM Score (%),Params (B),Memory (MB),_effective_bpw,_n_threads,_n_batch,_n_gpu_layers,_kv_type_k,_kv_type_v,_n_depth,_hw
qwen2 7B Q4_K - Medium|t=48|ngl=99,qwen2 7B Q4_K - Medium,0.1999,0.017488,57.182,,llama.cpp,int4/8,Q4_K (4.91bpw),FAv2,llama.cpp,qwen2 7B Q4_K - Medium,2.4383,,7.616,4460.4,4.9132,48,2048,99,f16,f16,0,RTX-3090
qwen2 7B Q4_K - Medium|t=48|ngl=99,qwen2 7B Q4_K - Medium,0.1999,0.006416,155.865,,llama.cpp,int4/8,Q4_K (4.91bpw),FAv2,llama.cpp,qwen2 7B Q4_K - Medium,1.0211,,7.616,4460.4,4.9132,48,2048,99,f16,f16,0,RTX-3090
qwen2 7B Q4_K - Medium|t=48|ngl=99,qwen2 7B Q4_K - Medium,0.1014,0.006903,144.855,,llama.cpp,int4/8,Q4_K (4.91bpw),Eager,llama.cpp,qwen2 7B Q4_K - Medium,0.985,,7.616,4460.4,4.9132,48,2048,99,f16,f16,0,RTX-3090
qwen2 7B Q4_K - Medium|t=48|ngl=99,qwen2 7B Q4_K - Medium,0.155,0.007611,131.384,,llama.cpp,int4/8,Q4_K (4.91bpw),Eager,llama.cpp,qwen2 7B Q4_K - Medium,1.1293,,7.616,4468.4,4.9132,48,2048,99,f16,f16,4096,RTX-3090
qwen2 7B Q4_K - Medium|t=48|ngl=99,qwen2 7B Q4_K - Medium,0.2095,0.008553,116.912,,llama.cpp,int4/8,Q4_K (4.91bpw),Eager,llama.cpp,qwen2 7B Q4_K - Medium,1.3043,,7.616,4476.4,4.9132,48,2048,99,f16,f16,8192,RTX-3090
qwen2 7B Q4_K - Medium|t=48|ngl=99,qwen2 7B Q4_K - Medium,0.3194,0.010596,94.378,,llama.cpp,int4/8,Q4_K (4.91bpw),Eager,llama.cpp,qwen2 7B Q4_K - Medium,1.6756,,7.616,4492.4,4.9132,48,2048,99,f16,f16,16384,RTX-3090
qwen2 7B Q4_K - Medium|t=48|ngl=99,qwen2 7B Q4_K - Medium,0.0891,0.017488,57.182,,llama.cpp,int4/8,Q4_K (4.91bpw),FAv2,llama.cpp,qwen2 7B Q4_K - Medium,2.3275,,7.616,4460.4,4.9132,48,2048,99,f16,f16,0,RTX-3090
qwen2 7B Q4_K - Medium|t=48|ngl=99,qwen2 7B Q4_K - Medium,0.0891,0.006416,155.865,,llama.cpp,int4/8,Q4_K (4.91bpw),FAv2,llama.cpp,qwen2 7B Q4_K - Medium,0.9103,,7.616,4460.4,4.9132,48,2048,99,f16,f16,0,RTX-3090
qwen2 7B Q4_K - Medium|t=48|ngl=99,qwen2 7B Q4_K - Medium,0.1056,0.017191,58.169,,llama.cpp,int4/8,Q4_K (4.91bpw),FAv2,llama.cpp,qwen2 7B Q4_K - Medium,2.3061,,7.616,4468.4,4.9132,48,2048,99,f16,f16,4096,RTX-3090
qwen2 7B Q4_K - Medium|t=48|ngl=99,qwen2 7B Q4_K - Medium,0.1056,0.006823,146.559,,llama.cpp,int4/8,Q4_K (4.91bpw),FAv2,llama.cpp,qwen2 7B Q4_K - Medium,0.979,,7.616,4468.4,4.9132,48,2048,99,f16,f16,4096,RTX-3090
qwen2 7B Q4_K - Medium|t=48|ngl=99,qwen2 7B Q4_K - Medium,0.1219,0.018195,54.96,,llama.cpp,int4/8,Q4_K (4.91bpw),FAv2,llama.cpp,qwen2 7B Q4_K - Medium,2.4508,,7.616,4476.4,4.9132,48,2048,99,f16,f16,8192,RTX-3090
