build_commit,build_number,cpu_info,gpu_info,backends,model_filename,model_type,model_size,model_n_params,n_batch,n_ubatch,n_threads,cpu_mask,cpu_strict,poll,type_k,type_v,n_gpu_layers,n_cpu_moe,split_mode,main_gpu,no_kv_offload,flash_attn,devices,tensor_split,tensor_buft_overrides,use_mmap,use_direct_io,embeddings,no_op_offload,no_host,fit_target,fit_min_ctx,n_prompt,n_gen,n_depth,test_time,avg_ns,stddev_ns,avg_ts,stddev_ts
"d05fe1d","1","AMD EPYC 7K62 48-Core Processor","NVIDIA GeForce RTX 3090, NVIDIA GeForce RTX 3090","CUDA","/root/models/qwen2.5-7b-instruct-q4_k_m-00001-of-00002.gguf","qwen2 7B Q4_K - Medium","4677120000","7615616512","128","512","48","0x0","0","50","f16","f16","99","0","layer","0","0","1","auto","0.00","none","1","0","0","0","0","0","0","1024","0","0","2026-05-08T02:06:27Z","400507090","616781","2556.762769","3.935416"
"d05fe1d","1","AMD EPYC 7K62 48-Core Processor","NVIDIA GeForce RTX 3090, NVIDIA GeForce RTX 3090","CUDA","/root/models/qwen2.5-7b-instruct-q4_k_m-00001-of-00002.gguf","qwen2 7B Q4_K - Medium","4677120000","7615616512","256","512","48","0x0","0","50","f16","f16","99","0","layer","0","0","1","auto","0.00","none","1","0","0","0","0","0","0","1024","0","0","2026-05-08T02:06:29Z","199846403","38346","5123.935205","0.913885"
"d05fe1d","1","AMD EPYC 7K62 48-Core Processor","NVIDIA GeForce RTX 3090, NVIDIA GeForce RTX 3090","CUDA","/root/models/qwen2.5-7b-instruct-q4_k_m-00001-of-00002.gguf","qwen2 7B Q4_K - Medium","4677120000","7615616512","512","512","48","0x0","0","50","f16","f16","99","0","layer","0","0","1","auto","0.00","none","1","0","0","0","0","0","0","1024","0","0","2026-05-08T02:06:30Z","195922300","10544390","5236.950387","289.579885"
"d05fe1d","1","AMD EPYC 7K62 48-Core Processor","NVIDIA GeForce RTX 3090, NVIDIA GeForce RTX 3090","CUDA","/root/models/qwen2.5-7b-instruct-q4_k_m-00001-of-00002.gguf","qwen2 7B Q4_K - Medium","4677120000","7615616512","1024","512","48","0x0","0","50","f16","f16","99","0","layer","0","0","1","auto","0.00","none","1","0","0","0","0","0","0","1024","0","0","2026-05-08T02:06:31Z","198541317","2325693","5158.091645","60.830485"
"d05fe1d","1","AMD EPYC 7K62 48-Core Processor","NVIDIA GeForce RTX 3090, NVIDIA GeForce RTX 3090","CUDA","/root/models/qwen2.5-7b-instruct-q4_k_m-00001-of-00002.gguf","qwen2 7B Q4_K - Medium","4677120000","7615616512","2048","512","48","0x0","0","50","f16","f16","99","0","layer","0","0","1","auto","0.00","none","1","0","0","0","0","0","0","1024","0","0","2026-05-08T02:06:32Z","199879839","60393","5123.078231","1.460400"
"d05fe1d","1","AMD EPYC 7K62 48-Core Processor","NVIDIA GeForce RTX 3090, NVIDIA GeForce RTX 3090","CUDA","/root/models/qwen2.5-7b-instruct-q4_k_m-00001-of-00002.gguf","qwen2 7B Q4_K - Medium","4677120000","7615616512","4096","512","48","0x0","0","50","f16","f16","99","0","layer","0","0","1","auto","0.00","none","1","0","0","0","0","0","0","1024","0","0","2026-05-08T02:06:33Z","199916632","2580599","5122.704116","66.126193"
"d05fe1d","1","AMD EPYC 7K62 48-Core Processor","NVIDIA GeForce RTX 3090, NVIDIA GeForce RTX 3090","CUDA","/root/models/qwen2.5-7b-instruct-q4_k_m-00001-of-00002.gguf","qwen2 7B Q4_K - Medium","4677120000","7615616512","2048","512","48","0x0","0","50","f16","f16","99","0","layer","0","0","1","auto","0.00","none","1","0","0","0","0","0","0","0","128","0","2026-05-08T02:06:44Z","2239440568","58115401","57.182426","1.462052"
"d05fe1d","1","AMD EPYC 7K62 48-Core Processor","NVIDIA GeForce RTX 3090, NVIDIA GeForce RTX 3090","CUDA","/root/models/qwen2.5-7b-instruct-q4_k_m-00001-of-00002.gguf","qwen2 7B Q4_K - Medium","4677120000","7615616512","2048","512","48","0x0","0","50","f16","f16","99","0","layer","0","0","1","auto","0.00","none","1","0","0","0","0","0","0","0","128","1024","2026-05-08T02:06:51Z","2222672142","60550274","57.616407","1.545389"
"d05fe1d","1","AMD EPYC 7K62 48-Core Processor","NVIDIA GeForce RTX 3090, NVIDIA GeForce RTX 3090","CUDA","/root/models/qwen2.5-7b-instruct-q4_k_m-00001-of-00002.gguf","qwen2 7B Q4_K - Medium","4677120000","7615616512","2048","512","48","0x0","0","50","f16","f16","99","0","layer","0","0","1","auto","0.00","none","1","0","0","0","0","0","0","0","128","4096","2026-05-08T02:06:58Z","2208653821","161080856","58.169176","4.428586"
"d05fe1d","1","AMD EPYC 7K62 48-Core Processor","NVIDIA GeForce RTX 3090, NVIDIA GeForce RTX 3090","CUDA","/root/models/qwen2.5-7b-instruct-q4_k_m-00001-of-00002.gguf","qwen2 7B Q4_K - Medium","4677120000","7615616512","2048","512","48","0x0","0","50","f16","f16","99","0","layer","0","0","1","auto","0.00","none","1","0","0","0","0","0","0","0","128","8192","2026-05-08T02:07:06Z","2333868361","131902636","54.960440","3.076837"
