hw,backend,precision_label,n_rows,alpha_median,alpha_p25,alpha_p75,beta_median,beta_p25,beta_p75,batch_max,batch_50pct
1xA10,pytorch,AWQ.4bit,457,0.1463,0.0247,0.2601,0.1589,0.043,0.2389,,
1xA10,pytorch,BnB.4bit,143,0.0853,0.0686,0.0925,0.0903,0.0359,0.1346,,
1xA10,pytorch,BnB.8bit,128,0.2255,0.0852,0.2849,0.0963,0.0356,0.1166,,
1xA10,pytorch,GPTQ.4bit,296,0.0953,0.0847,0.2464,0.0338,0.0201,0.1939,,
1xA10,pytorch,Unquantized,270,0.2614,0.1781,0.3277,0.452,0.2457,0.6061,,
1xA100,pytorch,BnB.4bit,44,0.0404,0.0349,0.0418,0.0276,0.0096,0.0613,,
1xA100,pytorch,BnB.8bit,41,0.1018,0.0354,0.2188,0.0301,0.0108,0.0659,,
1xA100,pytorch,GPTQ.4bit,71,0.0679,0.0505,0.0704,0.011,0.0086,0.0113,,
1xA100,pytorch,Unquantized,79,0.2525,0.0746,0.3382,0.1959,0.0626,0.2753,,
1xT4,pytorch,AWQ.4bit,210,0.1293,0.0195,0.1554,0.2919,0.1157,0.3919,,
1xT4,pytorch,BnB.4bit,88,0.0537,0.0492,0.058,0.1435,0.0688,0.1566,,
1xT4,pytorch,BnB.8bit,75,0.4005,0.1491,0.454,0.174,0.0664,0.207,,
1xT4,pytorch,GPTQ.4bit,168,0.2491,0.1875,0.2846,0.3145,0.0891,0.3911,,
1xT4,pytorch,Unquantized,142,0.043,0.0364,0.2245,0.4729,0.2829,0.6754,,
1xT4,pytorch,torchao.4bit,4,0.0432,0.043,0.0434,0.0673,0.0656,0.0691,,
2xRTX-3090,llama.cpp,Q4_K (4.85bpw),2,0.5821,0.5576,0.6066,0.831,0.8281,0.834,,
2xRTX-5090,vllm,AWQ.4bit,15,0.471,0.467,0.471,,,,,
32vCPU-C7i,onnxruntime,Unquantized,12,0.1671,0.1671,0.1672,0.2754,0.2751,0.2755,,
32vCPU-C7i,pytorch,Unquantized,200,0.1861,0.1536,0.2273,0.3733,0.2818,0.4322,,
RTX-3090,llama.cpp,Q4_K (4.91bpw),11,0.3571,0.2932,0.5309,0.7244,0.605,0.7795,,
1xA100-40,vllm,AWQ.4bit,6,0.453,0.45,0.46,0.44,,,7.8,6.8
1xA100-40,vllm,GPTQ.4bit,5,0.221,0.21,0.23,0.67,,,3.8,1.8
1xA100-40,vllm,GPTQ.4bit.MoE,5,0.352,0.34,0.36,0.468,,,5.8,12.2
