hw,backend,precision_label,attention,n_rows,alpha_median,alpha_p25,alpha_p75,beta_median,beta_p25,beta_p75
1xA10,pytorch,AWQ.4bit,Eager,171,0.1321,0.0242,0.2509,0.154,0.0422,0.2136
1xA10,pytorch,AWQ.4bit,FAv2,163,0.1412,0.0247,0.2535,0.1471,0.0423,0.2318
1xA10,pytorch,AWQ.4bit,SDPA,123,0.1638,0.0272,0.2694,0.1925,0.0435,0.3359
1xA10,pytorch,BnB.4bit,Eager,54,0.0857,0.0686,0.0917,0.0883,0.0324,0.1282
1xA10,pytorch,BnB.4bit,FAv2,50,0.0845,0.065,0.0924,0.0866,0.0367,0.133
1xA10,pytorch,BnB.4bit,SDPA,39,0.0877,0.0759,0.0941,0.1007,0.0445,0.1415
1xA10,pytorch,BnB.8bit,Eager,48,0.2185,0.0832,0.2731,0.0964,0.0355,0.1123
1xA10,pytorch,BnB.8bit,FAv2,45,0.2276,0.0853,0.2849,0.0923,0.0354,0.1164
1xA10,pytorch,BnB.8bit,SDPA,35,0.2291,0.0881,0.3421,0.1024,0.0365,0.1414
1xA10,pytorch,GPTQ.4bit,Eager,112,0.0916,0.0818,0.2368,0.0404,0.0202,0.1691
1xA10,pytorch,GPTQ.4bit,FAv2,104,0.1017,0.0863,0.2438,0.0279,0.02,0.1913
1xA10,pytorch,GPTQ.4bit,SDPA,80,0.0953,0.0863,0.2521,0.0222,0.0202,0.2216
1xA10,pytorch,Unquantized,Eager,114,0.2508,0.1439,0.3091,0.3146,0.2063,0.6047
1xA10,pytorch,Unquantized,FAv2,82,0.2622,0.2156,0.3296,0.452,0.2578,0.5575
1xA10,pytorch,Unquantized,SDPA,74,0.2643,0.1873,0.3468,0.5588,0.2396,0.6263
1xA100,pytorch,BnB.4bit,Eager,17,0.0403,0.0347,0.0412,0.0278,0.0096,0.061
1xA100,pytorch,BnB.4bit,FAv2,17,0.0399,0.0347,0.0415,0.0275,0.0094,0.0601
1xA100,pytorch,BnB.4bit,SDPA,10,0.041,0.0363,0.0428,0.0283,0.0127,0.0602
1xA100,pytorch,BnB.8bit,Eager,16,0.101,0.0354,0.2118,0.0307,0.0107,0.0657
1xA100,pytorch,BnB.8bit,FAv2,16,0.1015,0.037,0.226,0.0307,0.011,0.0678
1xA100,pytorch,BnB.8bit,SDPA,9,0.1018,0.0385,0.1809,0.0298,0.0115,0.0542
1xA100,pytorch,GPTQ.4bit,Eager,28,0.067,0.0501,0.0702,0.011,0.0086,0.0113
1xA100,pytorch,GPTQ.4bit,FAv2,27,0.0653,0.0469,0.07,0.0109,0.0078,0.0112
1xA100,pytorch,GPTQ.4bit,SDPA,16,0.0694,0.0629,0.0713,0.0113,0.0105,0.0114
1xA100,pytorch,Unquantized,Eager,35,0.2661,0.0611,0.3382,0.2033,0.0794,0.2833
1xA100,pytorch,Unquantized,FAv2,24,0.2525,0.1175,0.35,0.156,0.0724,0.3213
1xA100,pytorch,Unquantized,SDPA,20,0.0938,0.0656,0.3252,0.2027,0.0576,0.2737
1xT4,pytorch,AWQ.4bit,Eager,124,0.1234,0.0194,0.1516,0.2743,0.0994,0.3661
1xT4,pytorch,AWQ.4bit,FAv2,6,0.131,0.046,0.1435,0.381,0.3138,0.3978
1xT4,pytorch,AWQ.4bit,SDPA,80,0.1365,0.0728,0.1708,0.3389,0.1396,0.4294
1xT4,pytorch,BnB.4bit,Eager,50,0.0532,0.0473,0.0573,0.1392,0.0677,0.1537
1xT4,pytorch,BnB.4bit,FAv2,2,0.0518,0.0509,0.0526,0.1539,0.1515,0.1563
1xT4,pytorch,BnB.4bit,SDPA,36,0.0551,0.0507,0.0606,0.1472,0.0717,0.1592
1xT4,pytorch,BnB.8bit,Eager,43,0.3842,0.1434,0.4394,0.1671,0.0656,0.2042
1xT4,pytorch,BnB.8bit,FAv2,2,0.4377,0.4342,0.4412,0.1977,0.1959,0.1996
1xT4,pytorch,BnB.8bit,SDPA,30,0.4165,0.1568,0.4909,0.1763,0.0682,0.2149
1xT4,pytorch,GPTQ.4bit,Eager,94,0.2387,0.1569,0.2784,0.2739,0.0772,0.349
1xT4,pytorch,GPTQ.4bit,FAv2,4,0.1751,0.0702,0.2802,0.1844,0.0158,0.3664
1xT4,pytorch,GPTQ.4bit,SDPA,70,0.2743,0.2092,0.2953,0.3719,0.1433,0.4423
1xT4,pytorch,Unquantized,Eager,85,0.0426,0.0359,0.2091,0.4199,0.2712,0.6687
1xT4,pytorch,Unquantized,FAv2,4,0.1481,0.0414,0.2598,0.7582,0.7551,0.7612
1xT4,pytorch,Unquantized,SDPA,53,0.045,0.0379,0.234,0.4764,0.2852,0.6707
1xT4,pytorch,torchao.4bit,Eager,2,0.0434,0.0434,0.0434,0.0691,0.0691,0.0691
1xT4,pytorch,torchao.4bit,SDPA,2,0.043,0.043,0.043,0.0656,0.0656,0.0656
2xRTX-3090,llama.cpp,Q4_K (4.85bpw),FAv2,2,0.291,0.2788,0.3033,0.4155,0.4141,0.417
32vCPU-C7i,pytorch,Unquantized,Eager,124,0.1891,0.1568,0.2286,0.3626,0.2785,0.4282
32vCPU-C7i,pytorch,Unquantized,SDPA,76,0.1812,0.1507,0.2249,0.3856,0.3403,0.4408
RTX-3090,llama.cpp,Q4_K (4.91bpw),Eager,4,0.3082,0.2396,0.4012,0.6667,0.6242,0.6986
RTX-3090,llama.cpp,Q4_K (4.91bpw),FAv2,7,0.4505,0.3261,0.5348,0.7795,0.5134,0.7812
