mode,hw,rows,prefill_med,prefill_p90,decode_med,decode_p90
coarse,1xA10,1736,0.553,1.0,0.844,18.287
coarse,1xA100,286,0.58,1.0,0.6,13.659
coarse,1xT4,971,0.628,1.0,0.894,18.426
coarse,32vCPU-C7i,297,0.264,1.0,0.303,6.387
coarse,RTX-3090,11,0.752,0.816,0.094,2.093
fine,1xA10,1736,0.557,1.0,0.824,18.23
fine,1xA100,286,0.559,1.0,0.585,13.875
fine,1xT4,971,0.624,1.0,0.833,17.691
fine,32vCPU-C7i,267,0.258,1.0,0.282,6.435
fine,RTX-3090,11,0.787,0.848,0.093,2.328
uncalibrated,1xA10,1736,0.785,1.0,6.771,62.616
uncalibrated,1xA100,286,0.874,1.0,45.63,224.704
uncalibrated,1xT4,971,0.819,1.0,2.852,33.782
uncalibrated,32vCPU-C7i,297,0.259,1.0,0.851,12.575
uncalibrated,RTX-3090,11,0.557,0.672,0.243,1.348
