hw,model,params_b,precision_label,attention,kernel,backend,prefill_s_obs,decode_tps_obs,_n_batch,_n_depth,_n_prompt,_n_threads,alpha_prefill,beta_decode,t_per_token_s,weights_gb
1xA10,microsoft/Phi-3-mini-4k-instruct,3.0,BnB.8bit,Eager,No Kernel,pytorch,0.087,11.702,,,,,0.14124137931034483,0.05853300706816,0.08545547769612032,3.0
1xA10,microsoft/Phi-3-mini-4k-instruct,3.0,BnB.8bit,FAv2,No Kernel,pytorch,0.084,11.952,,,,,0.1462857142857143,0.059783498588160004,0.08366800535475234,3.0
1xA10,microsoft/Phi-3-mini-4k-instruct,3.0,BnB.4bit,FAv2,No Kernel,pytorch,0.19,20.034,,,,,0.06467368421052631,0.05012438844672,0.0499151442547669,1.5
1xA10,microsoft/Phi-3-mini-4k-instruct,3.0,BnB.4bit,Eager,No Kernel,pytorch,0.179,20.358,,,,,0.06864804469273743,0.050935025456640005,0.04912073877591119,1.5
1xA10,microsoft/Phi-3-mini-4k-instruct,3.0,Unquantized,FAv2,No Kernel,pytorch,0.057,25.728,,,,,0.21557894736842106,0.25733058330624003,0.038868159203980096,6.0
1xA10,microsoft/Phi-3-mini-4k-instruct,3.0,Unquantized,FAv2,No Kernel,pytorch,0.057,25.777,,,,,0.21557894736842106,0.25782067964416,0.03879427396516274,6.0
1xA10,microsoft/Phi-3-mini-4k-instruct,3.0,AWQ.4bit,FAv2,AWQ.GEMM,pytorch,0.074,25.822,,,,,0.16605405405405405,0.06460576811776,0.03872666718302223,1.5
1xA10,microsoft/Phi-3-mini-4k-instruct,3.0,AWQ.4bit,Eager,AWQ.GEMM,pytorch,0.067,26.175,,,,,0.18340298507462685,0.065488962144,0.038204393505253106,1.5
1xA10,microsoft/Phi-3-mini-4k-instruct,3.0,Unquantized,Eager,No Kernel,pytorch,0.127,28.46,,,,,0.09675590551181103,0.2846559546368,0.035137034434293744,6.0
1xA10,microsoft/Phi-3-mini-4k-instruct,3.0,Unquantized,Eager,No Kernel,pytorch,0.049,29.099,,,,,0.2507755102040816,0.29104721096192,0.034365442111412764,6.0
1xA10,microsoft/Phi-3-mini-4k-instruct,3.0,AWQ.4bit,Eager,AWQ.GEMV,pytorch,0.07,29.751,,,,,0.1755428571428571,0.07443599284608,0.033612315552418406,1.5
1xA10,microsoft/Phi-3-mini-4k-instruct,3.0,Unquantized,Eager,No Kernel,pytorch,0.05,29.84,,,,,0.24576,0.2984586678272,0.03351206434316354,6.0
1xA10,microsoft/Phi-3-mini-4k-instruct,3.0,AWQ.4bit,FAv2,AWQ.GEMV,pytorch,0.077,30.567,,,,,0.15958441558441558,0.07647759716736,0.03271501946543658,1.5
1xA10,microsoft/Phi-3-mini-4k-instruct,3.0,GPTQ.4bit,Eager,GPTQ.ExllamaV2,pytorch,0.067,31.81,,,,,0.18340298507462685,0.07958754100479999,0.03143665513989312,1.5
1xA10,microsoft/Phi-3-mini-4k-instruct,3.0,GPTQ.4bit,FAv2,GPTQ.ExllamaV1,pytorch,0.073,31.925,,,,,0.16832876712328768,0.079875267104,0.031323414252153486,1.5
1xA10,microsoft/Phi-3-mini-4k-instruct,3.0,AWQ.4bit,Eager,No Kernel,pytorch,0.687,32.156,,,,,0.01788646288209607,0.08045322126848,0.031098395322801346,1.5
1xA10,microsoft/Phi-3-mini-4k-instruct,3.0,GPTQ.4bit,FAv2,GPTQ.ExllamaV2,pytorch,0.073,32.422,,,,,0.16832876712328768,0.08111874424576,0.030843254580223307,1.5
1xA10,microsoft/Phi-3-mini-4k-instruct,3.0,AWQ.4bit,FAv2,No Kernel,pytorch,0.695,32.565,,,,,0.017680575539568345,0.08147652539519999,0.030707815138952866,1.5
1xA10,microsoft/Phi-3-mini-4k-instruct,3.0,GPTQ.4bit,Eager,GPTQ.ExllamaV1,pytorch,0.067,32.813,,,,,0.18340298507462685,0.08209701298304001,0.030475726084173954,1.5
1xA10,Qwen/Qwen1.5-32B,32.0,AWQ.4bit,FAv2,AWQ.GEMM,pytorch,2.623,0.405,,,,,0.049970263057567674,0.0108042467328,2.4691358024691357,16.0
1xA10,Qwen/Qwen1.5-32B,32.0,AWQ.4bit,Eager,AWQ.GEMM,pytorch,2.62,0.405,,,,,0.050027480916030535,0.0108042467328,2.4691358024691357,16.0
1xA10,Qwen/Qwen1.5-32B,32.0,AWQ.4bit,SDPA,AWQ.GEMM,pytorch,2.613,0.406,,,,,0.05016150019135094,0.010830923885226667,2.463054187192118,16.0
